frame,class,mean_edge,std_edge,cluster
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_000.png",Basketball,62.527194010416665,76.09029621171474,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_001.png",Basketball,56.17553602430556,72.6126516356176,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_002.png",Basketball,55.28771158854167,72.1499714921727,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_003.png",Basketball,56.04974283854167,74.27827372326311,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_004.png",Basketball,53.14273220486111,72.02659207583933,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_005.png",Basketball,50.32204318576389,69.53115173364375,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_006.png",Basketball,51.711656901041664,72.37827462105,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_007.png",Basketball,56.99588650173611,76.47341545873715,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_008.png",Basketball,55.61608832465278,75.32488961352067,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_009.png",Basketball,57.71479817708333,75.94516720111247,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_010.png",Basketball,60.087520616319445,77.74344146369617,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_011.png",Basketball,57.49726019965278,75.48388936228302,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_012.png",Basketball,51.64559027777778,70.21295976719416,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_013.png",Basketball,57.20195529513889,74.15545621090169,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_014.png",Basketball,56.492681206597226,74.47360413839486,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_016.png",Basketball,60.03767252604167,75.51288124116006,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_017.png",Basketball,58.407903645833336,74.47928800419781,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_018.png",Basketball,57.401837022569445,74.2699271471272,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_019.png",Basketball,58.96407877604167,75.94486252479794,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_020.png",Basketball,58.53974500868056,76.48652515973889,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_021.png",Basketball,57.16439127604167,75.41525750603168,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_022.png",Basketball,54.18630859375,73.5385604458044,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_023.png",Basketball,54.641435546875,72.96921252753695,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_024.png",Basketball,57.09190538194444,73.8660918881683,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_025.png",Basketball,19.423487413194444,40.908152553045305,1
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_026.png",Basketball,64.30238932291667,77.78409632990913,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_027.png",Basketball,63.543714192708336,77.56879980519655,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_028.png",Basketball,59.47238932291667,75.43810734458974,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_029.png",Basketball,55.44402235243056,73.35104834687985,0
"Golden State Warriors vs Denver Nuggets Full Game Highlights - April 4, 2025 _ NBA Regular Season_frame_030.png",Basketball,56.37421549479166,74.16018561250483,0
